Price;Zipcode;Accommodates;Bathrooms;Bedrooms;Beds;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Number of Reviews;Thumbnail Url
75.0;28013;3;1.0;1.0;1.0;150.0;30.0;2;10;2;1125;13;https://a0.muscache.com/im/pictures/d2946675-1d58-46a6-8afa-2444d8aef54b.jpg?aki_policy=small
21.0;28053;3;1.0;1.0;2.0;150.0;25.0;1;10;1;1125;0;https://a0.muscache.com/im/pictures/d9eb5b69-3b40-4ba1-9655-be66c5bf4dd4.jpg?aki_policy=small
120.0;28005;6;1.5;2.0;3.0;100.0;40.0;3;15;2;1125;28;https://a0.muscache.com/im/pictures/80ac3ca2-1988-43b6-acaa-557c3de0c857.jpg?aki_policy=small
65.0;28005;4;1.0;1.0;2.0;150.0;40.0;2;10;3;32;11;https://a0.muscache.com/im/pictures/d01a92c3-64fb-4284-83cd-675488851752.jpg?aki_policy=small
54.0;28004;3;1.0;1.0;1.0;100.0;20.0;1;0;4;1125;3;https://a0.muscache.com/im/pictures/6b970cd2-8a4a-4402-a176-6c6934fc1dcc.jpg?aki_policy=small
577.0;28001;7;3.0;4.0;4.0;150.0;103.0;1;0;3;1125;0;https://a0.muscache.com/im/pictures/0394cf3c-9342-49ff-afa3-f933b1c5c328.jpg?aki_policy=small
89.0;28014;4;1.0;1.0;3.0;150.0;25.0;1;0;1;1125;0;https://a0.muscache.com/im/pictures/2a4cbe54-fb38-4b60-b392-4f69209db863.jpg?aki_policy=small
40.0;28012;1;1.0;1.0;1.0;150.0;25.0;1;0;1;1125;0;https://a0.muscache.com/im/pictures/2042be41-98c1-4aa4-a5a9-12e7045ef5ab.jpg?aki_policy=small
14.0;28043;1;1.0;1.0;1.0;150.0;25.0;1;0;3;250;0;https://a0.muscache.com/im/pictures/7d597408-c49b-4a5c-ac3f-41c9c05b1e2a.jpg?aki_policy=small
18.0;28031;1;1.0;1.0;1.0;150.0;25.0;1;13;2;7;17;https://a0.muscache.com/im/pictures/104047265/02ee44df_original.jpg?aki_policy=small
80.0;28013;4;1.0;1.0;2.0;200.0;30.0;4;10;1;1125;140;https://a0.muscache.com/im/pictures/7d7e472e-20d2-4b68-93f0-505604bc991a.jpg?aki_policy=small
37.0;28026;1;1.0;1.0;1.0;150.0;25.0;1;0;1;1125;1;https://a0.muscache.com/im/pictures/14289a36-a975-4388-9807-1a996aaa022b.jpg?aki_policy=small
75.0;28010;4;2.0;2.0;2.0;150.0;50.0;1;0;3;1125;6;https://a0.muscache.com/im/pictures/a94d2376-27fb-4822-a229-ca95a3a05ab8.jpg?aki_policy=small
75.0;28039;6;1.0;2.0;3.0;450.0;50.0;1;65;3;1125;0;https://a0.muscache.com/im/pictures/fe3d3a91-6590-496a-a463-827d7d9047c2.jpg?aki_policy=small
38.0;28012;2;1.0;1.0;1.0;90.0;15.0;1;0;2;15;253;https://a0.muscache.com/im/pictures/14844991/d0d88810_original.jpg?aki_policy=small
91.0;28004;6;1.0;2.0;2.0;300.0;52.0;1;11;3;90;18;https://a0.muscache.com/im/pictures/9312123/0b5555cc_original.jpg?aki_policy=small
129.0;28008;6;1.0;2.0;2.0;250.0;25.0;4;25;2;1125;7;https://a0.muscache.com/im/pictures/75207857/98a9b4f6_original.jpg?aki_policy=small
65.0;28012;3;1.0;1.0;2.0;150.0;20.0;2;20;2;1125;18;https://a0.muscache.com/im/pictures/e1176e7a-ed8c-4aba-becc-2e57a0f86b38.jpg?aki_policy=small
35.0;28011;2;1.0;1.0;1.0;150.0;25.0;1;0;1;1125;14;https://a0.muscache.com/im/pictures/ab0d3532-5cbb-46ac-bead-07e9788544f0.jpg?aki_policy=small
95.0;28015;4;1.0;2.0;3.0;200.0;50.0;2;11;4;365;1;https://a0.muscache.com/im/pictures/7e481b1e-bfbb-48cf-84ec-670a3c641130.jpg?aki_policy=small
33.0;28005;2;1.0;1.0;1.0;150.0;25.0;1;0;3;1125;5;https://a0.muscache.com/im/pictures/d7ee52f2-b143-416d-b4ba-543eb2a39c4b.jpg?aki_policy=small
20.0;28004;1;1.0;1.0;1.0;100.0;25.0;1;0;2;1125;1;https://a0.muscache.com/im/pictures/330b68b8-6ced-4cf8-af7f-d4e1e3ee017f.jpg?aki_policy=small
20.0;28011;3;2.0;1.0;2.0;150.0;10.0;1;7;1;1125;0;https://a0.muscache.com/im/pictures/4b613dab-5d87-4e25-ab8f-b03ff0f1649e.jpg?aki_policy=small
80.0;28014;6;1.0;2.0;3.0;200.0;25.0;4;20;2;1125;6;https://a0.muscache.com/im/pictures/1cf2412c-d58c-4322-8ae3-878602ef5bc4.jpg?aki_policy=small
57.0;28012;2;1.0;1.0;1.0;150.0;25.0;1;0;3;31;9;https://a0.muscache.com/im/pictures/76989f7f-2db0-4e43-82de-b7acf77e8ed6.jpg?aki_policy=small
110.0;28019;6;2.0;2.0;5.0;120.0;30.0;4;15;3;7;0;https://a0.muscache.com/im/pictures/78b7101e-987a-4b47-8cd4-7c090a27d247.jpg?aki_policy=small
18.0;28021;1;1.0;1.0;1.0;150.0;25.0;1;0;3;7;8;https://a0.muscache.com/im/pictures/e7cad5a5-80aa-4cf9-879f-892b3b2ab74e.jpg?aki_policy=small
20.0;28012;1;1.0;1.0;1.0;150.0;25.0;1;0;10;29;1;https://a0.muscache.com/im/pictures/589652bb-4cb5-4fa9-aa6f-c4bb915f8081.jpg?aki_policy=small
90.0;28004;7;1.0;5.0;5.0;150.0;30.0;1;0;2;1125;12;https://a0.muscache.com/im/pictures/40769566/59ab003c_original.jpg?aki_policy=small
59.0;28040;4;1.0;2.0;2.0;100.0;30.0;1;0;1;365;92;https://a0.muscache.com/im/pictures/43896823/71f20ae5_original.jpg?aki_policy=small
60.0;28045;3;1.0;1.0;1.0;200.0;5.0;2;10;1;1125;12;https://a0.muscache.com/im/pictures/e28fb7ff-3beb-477c-889c-9b7a4f9855bf.jpg?aki_policy=small
22.0;28045;1;1.0;1.0;1.0;150.0;25.0;1;0;1;1125;16;https://a0.muscache.com/im/pictures/102948834/8e57369d_original.jpg?aki_policy=small
350.0;28013;6;3.0;1.0;6.0;150.0;25.0;1;0;1;1125;0;https://a0.muscache.com/im/pictures/3f1b40b4-c141-4795-b8bd-d086441b3acd.jpg?aki_policy=small
85.0;28012;4;1.0;1.0;2.0;100.0;25.0;1;0;3;1125;21;https://a0.muscache.com/im/pictures/ccf62334-b96b-4d0c-8491-2fc9bb5281bd.jpg?aki_policy=small
100.0;28003;4;1.0;1.0;1.0;200.0;33.0;2;10;4;1125;15;https://a0.muscache.com/im/pictures/40604860/4ad82158_original.jpg?aki_policy=small
75.0;28013;4;1.0;1.0;1.0;150.0;30.0;2;15;2;1125;1;https://a0.muscache.com/im/pictures/d4e6a477-7e52-4fda-8b3c-ac2e95f85620.jpg?aki_policy=small
95.0;28012;6;1.0;2.0;3.0;100.0;30.0;4;15;2;60;19;https://a0.muscache.com/im/pictures/3b328b1f-f0c1-419a-bc7c-5d50280ad1bd.jpg?aki_policy=small
25.0;28029;2;1.0;1.0;1.0;150.0;25.0;1;20;1;1125;3;https://a0.muscache.com/im/pictures/72851211/589efd07_original.jpg?aki_policy=small
89.0;28005;5;2.0;2.0;3.0;150.0;25.0;2;12;2;1125;53;https://a0.muscache.com/im/pictures/105185108/0863d4f8_original.jpg?aki_policy=small
161.0;28006;8;2.0;3.0;4.0;250.0;60.0;1;20;1;30;25;https://a0.muscache.com/im/pictures/87475dd2-cb22-415d-9585-7ce7b0ca5957.jpg?aki_policy=small
30.0;28005;2;2.0;1.0;1.0;150.0;10.0;1;0;1;10;62;https://a0.muscache.com/im/pictures/4504eb32-8376-4571-aa01-fb458e5cdfe4.jpg?aki_policy=small
579.0;28001;7;3.0;4.0;7.0;500.0;25.0;1;0;2;1125;3;https://a0.muscache.com/im/pictures/196b2c4d-5122-43c5-83e5-bbf21acfbb7b.jpg?aki_policy=small
80.0;28015;4;0.5;1.0;4.0;150.0;25.0;1;0;1;1125;0;https://a0.muscache.com/im/pictures/c1a85903-87ee-4cd7-97cf-a611f20d4011.jpg?aki_policy=small
41.0;28004;2;1.5;1.0;1.0;150.0;10.0;1;0;2;30;85;https://a0.muscache.com/im/pictures/110708490/74bf6c70_original.jpg?aki_policy=small
50.0;28043;2;1.0;1.0;2.0;150.0;25.0;1;0;2;7;2;https://a0.muscache.com/im/pictures/71913006/1055a185_original.jpg?aki_policy=small
12.0;28015;2;2.5;1.0;1.0;150.0;25.0;1;9;2;1125;15;https://a0.muscache.com/im/pictures/9d697a6a-0d1a-416b-8a52-5cea1408e3ea.jpg?aki_policy=small
29.0;28009;2;2.0;1.0;1.0;150.0;25.0;1;0;1;1125;0;https://a0.muscache.com/im/pictures/338e6ca7-041b-4522-976f-cd9aa5e9a67d.jpg?aki_policy=small
50.0;28045;2;1.0;1.0;1.0;150.0;25.0;1;30;2;1125;16;https://a0.muscache.com/im/pictures/f2a87c67-bfb9-4e22-808e-22860e87330b.jpg?aki_policy=small
55.0;28012;3;1.0;1.0;2.0;150.0;12.0;2;10;2;365;331;https://a0.muscache.com/im/pictures/14586809/8b4a9de8_original.jpg?aki_policy=small
